Food Group,Food Category,Servings Low,Servings High,Serving Size,Calories,Protein,Fibre,Carbs,Sugar,Added Sugar,Total Fat,Unsaturated Fat,Monounsaturated Fat,Polyunsaturated Fat,Saturated Fat,Trans Fat,Ultra-processed,Hydration,Salt
Fruits,Citrus fruits (oranges; grapefruit; clementines),2,4,Tennis ball or fist-sized,62,1.2,3.1,15,12,0,0.2,0.1,0.05,0.05,0.03,0,false,0.6,0
Fruits,Apples and pears,1,3,Tennis ball or fist-sized,95,0.5,4.4,25,19,0,0.3,0.15,0.05,0.1,0.05,0,false,0.5,2
Fruits,Berries (strawberries; blueberries; raspberries),1,3,Cupped hand,70,1.1,4,17,10,0,0.4,0.3,0.1,0.2,0.05,0,false,0.7,1
Fruits,Tropical fruits (mango; pineapple; papaya),1,2,Cupped hand,80,0.8,2.5,21,17,0,0.3,0.2,0.1,0.1,0.05,0,false,0.6,2
Fruits,Stone fruits (peaches; plums; cherries),1,2,Fist or handful,60,1.2,2,15,13,0,0.4,0.25,0.1,0.15,0.05,0,false,0.6,0
Fruits,Melons and grapes,1,2,Fist-sized wedge or handful,50,1,0.8,13,11,0,0.2,0.15,0.05,0.1,0.03,0,false,0.8,2
Vegetables,Leafy greens (spinach; lettuce; kale),2,4,Two fists (raw),10,1,1.5,2,0.5,0,0.1,0.08,0.02,0.06,0.02,0,false,0.8,25
Vegetables,Cruciferous (broccoli; cauliflower; Brussels sprouts),2,4,Fist-sized,30,2.5,2.5,6,1.5,0,0.3,0.2,0.05,0.15,0.05,0,false,0.7,30
Vegetables,Root vegetables (carrots; beets; turnips),1,3,Fist or 1 medium,50,1.2,3,12,6,0,0.2,0.15,0.05,0.1,0.03,0,false,0.6,70
Vegetables,Starchy vegetables (potatoes; sweet potatoes; corn),1,2,Fist-sized,140,3.5,4,32,4,0,0.2,0.1,0.03,0.07,0.05,0,false,0.5,15
Vegetables,Nightshades and gourds (tomatoes; peppers; zucchini),1,3,Fist-sized,25,1.2,1.5,5,3,0,0.3,0.2,0.05,0.15,0.05,0,false,0.75,5
Vegetables,Alliums (onions; garlic; leeks),1,2,Half fist (cooked),45,1.1,1.5,11,5,0,0.1,0.08,0.02,0.06,0.02,0,false,0.6,5
Grains,Whole grain bread and wraps,3,6,Palm-sized slice,80,4,2,15,1.5,1,1.1,0.7,0.2,0.5,0.2,0,false,0.15,150
Grains,Whole grains (brown rice; quinoa; farro),1,3,Cupped hand (cooked),110,4,2.5,22,0.5,0,1.5,1.1,0.4,0.7,0.3,0,false,0.4,5
Grains,Oats and hot cereals,1,2,Cupped hand (dry),150,5,4,27,1,0,3,2.2,1,1.2,0.5,0,false,0.3,0
Grains,Whole wheat pasta,1,2,Fist-sized (cooked),175,8,6,37,1,0,1.3,0.9,0.2,0.7,0.2,0,false,0.5,5
Grains,Refined grains (white rice; white bread),0,2,Fist or palm-sized,180,4,1,40,1,0,0.5,0.3,0.1,0.2,0.1,0,true,0.4,200
Grains,Cold cereals (bran flakes; granola; muesli),1,2,Fist-sized,150,4,4,32,8,5,2,1.5,0.5,1,0.4,0,false,0.1,180
Protein,Poultry and oily fish (chicken; turkey; salmon),2,3,Palm of hand,150,25,0,0,0,0,6,4,2.5,1.5,1.5,0,false,0.4,75
Protein,White fish and shellfish (cod; shrimp; scallops),2,3,Palm of hand,90,20,0,1,0,0,1,0.6,0.2,0.4,0.3,0,false,0.5,200
Protein,Red meat (beef; pork; lamb),1,2,Palm of hand,225,25,0,0,0,0,13,6,5.5,0.5,5.5,0.3,false,0.35,70
Protein,Eggs,1,2,1-2 eggs,140,12,0,1,1,0,10,6.5,4,2.5,3,0,false,0.5,140
Protein,Legumes (lentils; chickpeas; black beans),1,3,Cupped hand,115,8,8,20,1,0,0.5,0.35,0.1,0.25,0.1,0,false,0.4,5
Protein,Plant proteins (tofu; tempeh; edamame),1,3,Palm of hand,100,12,2,5,1,0,5,4,1.5,2.5,0.7,0,false,0.5,15
Dairy,Milk (whole; 2%; skim),2,3,Small glass (fist-sized),105,8,0,12,12,0,3,1,0.8,0.2,1.8,0,false,0.9,100
Dairy,Greek yogurt (plain),1,2,Cupped hand,100,17,0,6,4,0,0.7,0.25,0.2,0.05,0.4,0,false,0.6,55
Dairy,Regular yogurt and kefir,1,2,Cupped hand,150,6,0,24,20,12,2.5,0.8,0.7,0.1,1.5,0,false,0.6,95
Dairy,Hard cheese (cheddar; parmesan; Swiss),1,2,Two fingers or thumb-sized,115,7,0,0.5,0.1,0,9,3,2.5,0.3,5.5,0,false,0.1,180
Dairy,Soft cheese and cottage cheese,1,2,Cupped hand,90,12,0,4,3,0,2,0.8,0.6,0.2,1.2,0,false,0.5,350
Dairy,Plant-based milk (almond; oat; soy),1,3,Small glass (fist-sized),80,3,1,10,5,3,3,2.5,1.5,1,0.3,0,false,0.9,120
Fats and Oils,Healthy oils (olive; avocado),2,4,Thumb-sized,120,0,0,0,0,0,14,12,10,2,2,0,false,0,0
Fats and Oils,Omega-rich oils (flaxseed; walnut),0,2,Thumb-sized,120,0,0,0,0,0,14,12.5,3,9.5,1.5,0,false,0,0
Fats and Oils,Butter and ghee,0,2,Thumb tip,100,0,0,0,0,0,11.5,4,3,0.5,7,0.3,false,0,90
Fats and Oils,Mayonnaise,0,2,Thumb-sized,95,0.2,0,0.5,0.1,0,10,7,3,4,1.5,0,false,0.05,90
Fats and Oils,Coconut oil and cream,0,1,Thumb-sized,120,0,0,0,0,0,14,1.5,0.8,0.3,12,0,false,0,0
Nuts and Seeds,Tree nuts (almonds; walnuts; cashews),1,2,Small handful,175,6,3,6,1,0,16,14,9,5,1.5,0,false,0,0
Nuts and Seeds,Peanuts,0,2,Small handful,165,7,2.5,5,1,0,14,11,7,4,2,0,false,0,5
Nuts and Seeds,Seeds (chia; flax; sunflower; pumpkin),1,2,Two thumb-sized,100,5,4,5,0.3,0,8,7,2,5,0.8,0,false,0,2
Nuts and Seeds,Nut and seed butters (peanut butter; almond butter),0,2,Thumb-sized,95,4,1,3,1,0.5,8,6.5,4,2.5,1.5,0,false,0,75
